2026-07-03 00:23:33.466 +00:00 [INF] Maintenance purge removed 1 expired session(s) and 6 expired cache entry(ies).
2026-07-03 00:23:33.700 +00:00 [WRN] Overriding address(es) 'https://localhost:63061, http://localhost:63062'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2026-07-03 00:23:33.759 +00:00 [INF] Now listening on: https://[::]:8443
2026-07-03 00:23:33.989 +00:00 [INF] Application started. Press Ctrl+C to shut down.
2026-07-03 00:23:34.095 +00:00 [INF] Hosting environment: Development
2026-07-03 00:23:34.096 +00:00 [INF] Content root path: C:\Projects\multi-clone-agent\artifacts\proweb-2\project\code\src\ProWeb.Server
2026-07-03 00:24:15.127 +00:00 [INF] Proxied GET https://www.wenxuecity.com/ → 200 via http in 323ms (424385B) [dc8f3c594b1541a982ce7cd5781b672c]
2026-07-03 00:24:15.388 +00:00 [INF] Proxied GET https://a.pub.network/wenxuecity-com/cls.css → 200 via http in 77ms (7436B) [af14023d9c0646d0a8588d4669ac013a]
2026-07-03 00:24:15.462 +00:00 [INF] Proxied GET https://securepubads.g.doubleclick.net/tag/js/gpt.js?network-code=***REDACTED*** → 200 via http in 59ms (114225B) [8a5a548f9884451ca08de37d1866e368]
2026-07-03 00:24:15.499 +00:00 [INF] Proxied GET https://www.wenxuecity.com/css/nav_top.css?v4.3 → 200 via http in 14ms (2032B) [e867cbfa7527427ea8c6b492609c944d]
2026-07-03 00:24:15.523 +00:00 [INF] Proxied GET https://www.wenxuecity.com/css/homepage.css?v2.7 → 200 via http in 8ms (15409B) [2249dd259b764033b02a1dbbce6b0a3f]
2026-07-03 00:24:15.685 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202102/wxc_160_90_white.svg → 200 via http in 110ms (30537B) [afc51da6f709412292dd4222589a0004]
2026-07-03 00:24:15.723 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202507/000.JPG → 200 via http in 9ms (31853B) [4d4b0aa1c6764d3cb2df9c6d2cc53a27]
2026-07-03 00:24:15.769 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202606/160x90.png → 200 via http in 25ms (48959B) [2dc3902d58b549daa7c2712a3eb5ca63]
2026-07-03 00:24:15.798 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202606/deal.png → 200 via http in 8ms (38873B) [b380309a1db2447d9c51a247c17d07d0]
2026-07-03 00:24:15.822 +00:00 [INF] Proxied GET https://adserver.wenxuecity.com/202605/dealam.jpg → 200 via http in 7ms (4025B) [78d7fc0a6b9742d78b46c81a97c7a133]
